round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8
1,"(1, 99.99)","(1, 99.98)","(1, 99.97)","(1, 99.97)","(1, 98.81)","(1, 99.9)","(1, 100.0)","(1, 99.83)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 99.99)"
1,"(1, 99.99)","(1, 100.0)","(0, 100.0)","(1, 100.0)","(1, 99.98)","(1, 99.94)","(1, 99.99)","(1, 99.97)"
0,,,,,,,,
1,"(1, 99.88)","(0, 99.99)","(1, 99.98)","(1, 99.98)","(0, 99.97)","(0, 99.95)","(1, 100.0)","(0, 99.98)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, 99.99)","(1, 99.96)","(1, 99.97)","(1, 99.99)","(1, 99.94)","(1, 99.89)","(1, 99.99)","(1, 99.6)"
1,"(1, 99.97)","(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.91)","(1, 99.99)","(1, 99.99)","(0, 100.0)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 100.0)"
1,"(1, 98.18)","(1, 95.15)","(1, 52.62)","(0, 47.18)","(0, 59.75)","(0, 47.86)","(0, 91.83)","(0, 68.93)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, 99.98)","(1, 99.97)","(1, 99.99)","(1, 99.99)","(1, 99.87)","(1, 99.91)","(1, 100.0)","(1, 99.95)"
1,"(1, 99.98)","(1, 99.97)","(1, 99.99)","(1, 99.88)","(1, 99.89)","(1, 99.66)","(0, 99.94)","(0, 99.9)"
1,"(1, 99.98)","(1, 99.85)","(1, 56.21)","(0, 89.32)","(1, 99.97)","(1, 100.0)","(1, 100.0)","(1, 99.88)"
1,"(1, 99.34)","(0, 59.22)","(1, 100.0)","(1, 99.98)","(1, 97.96)","(1, 99.97)","(1, 99.99)","(1, 98.13)"
0,,,,,,,,
1,"(1, 99.94)","(1, 99.98)","(0, 99.99)","(1, 99.89)","(1, 99.67)","(1, 99.9)","(1, 99.99)","(1, 92.1)"
1,"(0, 95.05)","(1, 99.08)","(1, 96.8)","(1, 98.32)","(1, 54.64)","(1, 99.94)","(1, 99.98)","(1, 98.81)"
0,,,,,,,,
1,"(1, 98.89)","(1, 93.94)","(0, 95.1)","(1, 99.32)","(0, 64.78)","(0, 99.1)","(0, 99.98)","(1, 99.59)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.98)","(1, 99.95)","(1, 99.93)","(1, 99.99)","(1, 99.88)","(1, 100.0)","(1, 100.0)","(1, 99.99)"
1,"(1, 99.99)","(1, 99.99)","(1, 99.97)","(1, 99.95)","(1, 99.89)","(1, 99.79)","(1, 100.0)","(1, 99.95)"
